from_city,to_city,distance_km,vehicle,cargo,is_peak,is_weekend,cost
Pilibhit,Puri,1480.11,3.5T,4,1,0,51316.25
Malda,Chhatarpur,1187.76,3.5T,8,1,0,43666.22
Anand,Gandhidham,394.26,3.5T,15,0,0,14678.94
Balasore,Surendranagar,2125.79,7.5T,2,0,1,91436.41
Sikar,Kollam,2604.91,7.5T,1,1,1,114747.0
Amroha,Muzaffarpur,1032.0,25T,9,0,1,79808.69
Anantapur,Muzaffarpur,1918.23,12T,16,0,0,103475.18
Guna,Durgapur,1398.01,12T,19,1,1,79495.62
Karnal,Shantipur,1821.16,3.5T,17,0,1,65414.82
Guwahati,Arrah,985.17,7.5T,4,1,1,47168.87
Khammam,Jind,1758.16,3.5T,1,0,1,64374.66
Bahadurgarh,Warangal,1532.64,3.5T,6,1,0,54613.82
Surendranagar,Nandyal,1381.51,25T,12,0,0,104682.89
Surat,Bhadravati,1093.51,18T,18,0,0,72174.93
Nandyal,Panchkula,2123.14,25T,10,0,0,153121.95
Moradabad,Chhapra,931.56,12T,3,0,0,49589.01
Fatehpur,Gudiyatham,1820.32,12T,12,1,1,102270.58
Jodhpur,Nizamabad,1263.5,12T,19,0,1,68175.03
Amravati,Agartala,1916.66,3.5T,19,1,1,72010.87
Eluru,Bahadurgarh,1760.34,25T,2,1,0,132079.45
Yamunanagar,Bulandshahr,252.24,12T,13,1,0,14780.73
Srinagar,Patna,1855.01,25T,7,0,1,146115.39
Vidisha,Muzaffarnagar,825.34,7.5T,7,1,1,40013.69
Jhansi,Mau,695.87,12T,6,1,1,37987.81
Allahabad,Pilibhit,524.3,12T,10,1,0,28722.94
Cuddalore,Udupi,730.92,7.5T,12,0,0,33269.58
Aizawl,Jodhpur,2754.59,7.5T,7,0,0,122194.95
Mumbai,Pilibhit,1637.02,25T,9,0,1,126150.06
Jind,Bahadurgarh,122.33,18T,9,0,0,8748.21
Proddatur,Bikaner,1980.11,3.5T,11,1,1,68385.5
Ramagundam,Shimla,1741.99,18T,17,1,0,108916.77
Ahmednagar,Ludhiana,1645.24,12T,13,1,1,90917.83
Shantipur,Vellore,1930.95,18T,19,0,0,121031.42
Ajmer,Parbhani,1040.59,18T,7,0,0,65186.44
Jammu,Kolkata,2344.58,25T,18,1,0,185622.08
Anand,Amravati,709.89,12T,13,1,0,40660.03
Jorhat,Pilibhit,2013.44,3.5T,5,1,0,70546.04
Durg,Raiganj,1130.64,7.5T,7,1,1,51614.47
Aurangabad,Nagpur,548.65,25T,7,1,1,43163.37
Batala,Yamunanagar,369.67,25T,15,1,0,30281.52
Thrissur,Orai,2194.34,3.5T,5,1,0,79086.14
Midnapore,Ambala,1832.09,18T,1,0,1,113708.55
Robertsonpet,Vaniyambadi,60.73,25T,19,0,1,5794.64
Kannur,Indore,1506.28,7.5T,14,0,0,70153.63
Gulbarga,Guna,1015.62,7.5T,3,0,0,45419.98
Jamshedpur,Panchkula,1696.64,12T,13,0,1,90913.22
Bikaner,Hisar,369.07,7.5T,9,1,0,17757.52
Barabanki,Ludhiana,921.69,25T,14,0,0,67202.96
Bellary,Calicut,561.23,25T,13,1,0,42399.95
Machilipatnam,Anand,1441.85,25T,7,1,1,104302.91
Chandigarh,Vapi,1532.1,7.5T,5,1,1,67351.77
Beawar,Coimbatore,2124.63,25T,8,0,1,163091.75
Kasaragod,Gudiyatham,542.51,25T,5,0,0,40383.3
Bathinda,Belgaum,1993.6,25T,1,1,0,150906.18
Guwahati,Hoshiarpur,2318.65,7.5T,19,1,1,106089.02
Dhulian,Yamunanagar,1664.27,7.5T,5,0,1,75172.02
Nadiad,Dindigul,1851.52,12T,19,1,0,106434.89
Ajmer,Vapi,874.47,18T,7,1,1,55195.88
Shimoga,Naya Raipur,1322.69,7.5T,2,1,0,62678.68
Thiruvananthapuram,Belgaum,1071.28,25T,1,0,1,84677.37
Khandwa,Jorhat,2569.08,3.5T,19,1,1,91659.61
Sirsa,Haridwar,440.31,12T,5,1,1,25610.72
Bihar Sharif,Nadiad,1789.52,25T,10,1,1,131086.2
Aligarh,Chhatarpur,462.6,25T,4,1,0,35690.12
Orai,Sirsa,785.52,7.5T,4,1,1,36894.2
Haldia,Yamunanagar,1870.27,25T,19,0,1,134745.83
Habra,Jamnagar,2582.15,12T,15,1,0,147477.66
Proddatur,Gulbarga,430.21,12T,19,0,1,25413.7
Aurangabad,Faridabad,1215.2,18T,11,1,1,82488.72
Yamunanagar,Modinagar,185.1,12T,15,1,0,11132.58
Dindigul,Srinagar,3319.65,3.5T,14,1,0,116753.52
Shimla,Latur,1763.63,3.5T,17,1,0,61411.92
Hindupur,Proddatur,194.89,25T,3,1,1,15882.37
Adoni,Dhulian,1940.8,18T,6,0,1,121543.13
Khandwa,Hassan,1224.13,18T,10,1,1,77866.73
Alwar,Hapur,227.54,12T,1,0,0,12968.0
Cuttack,Bharuch,1795.77,25T,2,1,1,130858.07
Pilibhit,Katni,669.7,25T,8,1,1,49227.2
Meerut,Akola,1152.57,3.5T,16,1,0,39792.53
Madurai,Amravati,1528.68,7.5T,12,1,0,69379.97
Jalgaon,Varanasi,1189.56,3.5T,6,1,0,44174.76
Hoshiarpur,Rourkela,1785.49,7.5T,3,0,1,78009.12
Alappuzha,Raiganj,2770.82,12T,6,1,1,152956.39
Sonipat,Hazaribagh,1336.97,25T,17,1,0,100399.93
Hubli,Bhilwara,1383.5,7.5T,14,1,0,64892.42
Coimbatore,Bidar,960.13,3.5T,15,0,1,34408.52
Junagadh,Vapi,374.86,25T,18,1,1,30915.34
Tirupur,Morena,2136.55,3.5T,11,0,0,72191.85
Hajipur,Siliguri,468.28,12T,2,1,1,26367.18
Belgaum,Nizamabad,634.27,7.5T,9,1,1,28919.42
Banda,Tirunelveli,2353.65,7.5T,6,1,0,102327.21
Ambala,Bengaluru,2417.83,18T,11,1,0,163905.55
Muzaffarnagar,Vapi,1425.33,7.5T,4,0,1,63607.67
Vijayawada,Morbi,1619.77,18T,11,0,0,101993.97
Bulandshahr,Gandhinagar,1020.77,25T,17,0,0,77172.24
Dhule,Chhatarpur,868.69,3.5T,10,1,0,31662.05
Lucknow,Bidar,1328.1,7.5T,8,0,0,59837.87
Belgaum,Bijapur,216.34,7.5T,17,0,1,10735.09
Aizawl,Dhule,2520.18,25T,9,0,1,190627.66
Nabadwip,Jalandhar,2087.65,7.5T,3,1,0,91428.75
Rajnandgaon,Gadag,1085.13,18T,2,1,0,73851.68
Surat,Amroha,1327.83,18T,15,0,0,84393.6
Hapur,Kollam,2757.15,7.5T,4,1,0,130280.61
Gudiyatham,Panipat,2297.21,25T,19,0,0,167921.81
Malegaon,Ratlam,392.15,25T,13,1,1,31120.51
Chittorgarh,Bhadravati,1541.3,7.5T,13,0,0,69683.04
Delhi,Mangalore,2202.68,18T,14,0,0,144194.25
Junagadh,Gurgaon,1325.59,25T,12,0,0,97904.21
Nadiad,Anantapur,1291.17,12T,12,0,0,70317.53
Nellore,Vellore,242.64,7.5T,17,0,1,12223.61
Muzaffarpur,Durgapur,450.75,7.5T,6,0,1,20997.31
Bhagalpur,Sirsa,1765.0,3.5T,6,0,0,64648.74
Rewa,Gudiyatham,1643.52,12T,6,0,1,89197.29
Sonipat,Raebareli,686.47,18T,17,1,1,45707.9
Panipat,Ozhukarai,2449.95,12T,5,0,1,129569.83
Dhule,Hajipur,1592.82,25T,13,1,1,119278.06
Gaya,Banda,653.7,18T,17,1,1,44398.56
Naya Raipur,Dhule,971.98,7.5T,18,0,0,42753.6
Kollam,Etawah,2504.83,3.5T,13,1,1,85432.68
Korba,Varanasi,411.62,3.5T,1,1,1,15445.87
Bokaro Steel City,Katihar,325.87,3.5T,17,0,1,12605.62
Jammu,Raipur,1848.81,12T,15,0,0,99564.88
Aizawl,Dankuni,630.86,18T,18,0,0,39922.38
Bikaner,Hathras,660.48,7.5T,8,0,0,31563.02
Jalandhar,Guna,958.65,7.5T,6,0,1,45685.36
Muzaffarnagar,Katihar,1472.68,18T,3,0,0,98319.74
Kanchipuram,Dankuni,1812.97,3.5T,8,0,1,67171.43
Jamnagar,Davangere,1376.92,7.5T,19,1,1,62540.84
Tirupati,Dibrugarh,2882.81,18T,6,1,0,188685.05
Gwalior,Kolkata,1500.46,3.5T,13,1,1,55237.41
Shantipur,Berhampur,745.61,18T,9,1,0,51200.05
Berhampur,Junagadh,2012.61,25T,14,0,0,149800.08
Mangalore,Robertsonpet,473.71,18T,2,0,1,30184.16
Vizianagaram,Dibrugarh,2059.65,3.5T,12,0,0,74256.31
Kurnool,Gandhinagar,1269.69,3.5T,8,1,1,45439.35
Jodhpur,Jind,624.65,18T,4,0,0,40225.47
Chhatarpur,Malda,1187.76,12T,9,0,1,67955.5
Hoshiarpur,Allahabad,1178.73,3.5T,6,0,0,41473.26
Hajipur,Noida,1162.39,7.5T,10,1,0,54229.82
Dhulian,Chittoor,2008.13,25T,17,0,0,152285.81
Rampur,Satara,1690.66,18T,12,0,0,115531.42
Dimapur,Porbandar,3398.12,25T,3,0,1,267077.38
Bongaigaon,Kurnool,2280.36,3.5T,3,0,0,83744.02
Junagadh,Unnao,1556.05,12T,13,1,1,91371.61
Bhiwani,Puri,1834.4,18T,17,1,1,116067.89
Chittoor,Modinagar,2176.78,7.5T,4,0,1,94645.96
Saharanpur,Erode,2584.47,18T,17,0,1,175879.7
Bhilwara,Sambhal,715.13,18T,19,0,1,46398.13
Chhatarpur,Darbhanga,891.75,12T,8,1,1,49839.05
Vijayawada,Bidar,477.94,3.5T,13,1,1,17864.78
Mangalore,Vaniyambadi,523.41,7.5T,4,1,0,23880.79
Ramagundam,Raipur,456.92,7.5T,3,0,0,20952.07
Coimbatore,Beawar,2124.63,12T,11,0,0,121130.78
Noida,Purnia,1458.26,7.5T,15,0,0,65731.93
Hindupur,Jind,2155.81,12T,19,0,1,119064.56
Jalpaiguri,Jaunpur,842.77,18T,4,0,1,54666.27
Dhulian,Berhampur,862.39,25T,16,1,0,65061.69
Damoh,Barmer,1144.61,12T,10,0,1,60921.81
Nagpur,Haldwani,1121.6,3.5T,5,0,0,40979.83
Rohtak,Alappuzha,2691.65,12T,6,0,0,155219.89
Bengaluru,Bhiwani,2205.39,12T,4,1,1,122285.6
Ahmedabad,Krishnanagar,2210.92,25T,16,1,1,170010.1
Sonipat,Sikar,326.83,12T,8,0,0,18939.66
Jaipur,Kharagpur,1709.69,7.5T,12,1,1,76104.13
Thanesar,Kannur,2518.74,18T,18,1,0,171810.58
Dindigul,Khambhat,1816.92,12T,9,1,0,96927.6
Dindigul,Sambalpur,1750.73,12T,4,0,0,93011.09
Anand,Thanjavur,1847.31,12T,9,1,1,104482.64
Panchkula,Arrah,1295.94,3.5T,16,0,0,47666.72
Indore,Modinagar,881.0,3.5T,7,1,1,31565.5
Tirunelveli,Panipat,2871.05,25T,10,1,0,214672.72
Aligarh,Thiruvananthapuram,2692.78,25T,11,0,1,196805.1
Rajnandgaon,Kannur,1501.39,18T,5,0,0,94928.36
Fatehpur,Haldwani,491.74,25T,7,0,0,37263.47
Calicut,Chhindwara,1561.06,3.5T,16,0,1,53202.86
Aurangabad,Bareilly,1307.49,25T,7,1,0,94096.03
Satna,Haldwani,666.35,12T,13,0,1,36019.09
Hathras,Nizamabad,1239.35,18T,19,1,1,79136.05
Nandyal,Machilipatnam,381.14,12T,11,0,1,21850.82
Raiganj,Sonipat,1598.42,12T,16,1,1,85158.81
Begusarai,Rajkot,2170.07,7.5T,15,1,1,100651.9
Ozhukarai,Jalpaiguri,2379.69,18T,5,0,1,161632.65
Hyderabad,Hazaribagh,1324.19,12T,13,0,1,72760.58
Gudiyatham,Bilaspur,1346.14,7.5T,11,0,0,61292.14
Amritsar,Bhadravati,2472.61,7.5T,10,1,0,115143.87
Aligarh,Kanpur,370.49,18T,13,1,0,24413.29
Kakinada,Thanesar,1952.16,7.5T,10,1,0,91124.6
Solapur,Rudrapur,1645.33,7.5T,16,1,1,75658.98
Akola,Coimbatore,1344.39,18T,1,0,1,86690.24
Dhanbad,Sagar,1067.36,25T,2,0,0,80447.1
Vadodara,Anantapur,1222.86,7.5T,8,1,0,54677.32
Akola,Bettiah,1340.56,7.5T,8,1,1,62011.51
Haldia,Hindupur,1860.24,25T,9,1,1,139690.04
Dibrugarh,Bongaigaon,622.06,7.5T,3,0,0,26848.58
Varanasi,Jalna,1241.71,7.5T,10,1,1,59969.23
Kota,Thanjavur,2052.59,3.5T,11,0,0,72237.66
Nabadwip,Nashik,2077.16,7.5T,18,1,1,95335.66
Berhampur,Dewas,1314.48,25T,1,1,0,104041.73
Ludhiana,Durgapur,1890.67,18T,10,1,1,122995.77
Bijapur,Vaniyambadi,701.73,3.5T,14,0,0,25180.51
Anand,Deoghar,1927.88,25T,3,0,1,138763.15
Orai,Jodhpur,891.84,25T,15,0,1,68338.18
Ludhiana,Bareilly,607.79,12T,12,1,1,34500.33
Bokaro Steel City,Delhi,1417.77,25T,18,0,1,108045.64
Deoghar,Bilaspur,713.81,18T,16,1,1,50280.91
Nellore,Hindupur,356.44,18T,1,1,1,24156.61
Habra,Guna,1596.38,18T,8,1,0,105476.32
Pondicherry,Bahadurgarh,2362.32,25T,13,1,1,171867.34
Kolkata,Fatehpur,1146.4,25T,5,1,0,89681.23
Sangli-Miraj-Kupwad,Vizianagaram,1232.02,3.5T,19,0,0,44808.99
Alwar,Ratlam,625.89,25T,4,0,0,47940.98
Barabanki,Munger,764.92,18T,11,1,1,49649.82
Modinagar,Tiruchirappalli,2508.09,7.5T,9,1,0,111464.36
Bharatpur,Begusarai,1224.53,25T,8,0,0,94871.52
Jhansi,Aligarh,346.27,7.5T,5,0,1,16931.82
Chandigarh,Mughalsarai,1163.22,3.5T,1,1,0,43203.33
Hazaribagh,Sambalpur,400.36,3.5T,10,0,1,14771.32
Nagercoil,Vellore,698.78,12T,14,1,0,38803.16
Mirzapur,Bhavnagar,1518.93,7.5T,4,0,1,67575.82
Dhule,Malegaon,59.55,25T,12,1,0,5402.81
Nanded,Surat,683.8,3.5T,15,0,1,24978.39
Salem,Rajnandgaon,1368.61,18T,15,1,0,85958.53
Hisar,Korba,1355.92,25T,3,0,0,104497.96
Warangal,Sangli-Miraj-Kupwad,710.49,18T,18,0,1,48516.35
Sonipat,Kishangarh,449.14,18T,11,1,0,29457.68
Ahmednagar,Bidar,415.86,18T,16,0,1,28018.46
Bardhaman,Amroha,1522.59,18T,10,1,1,97799.22
Ahmedabad,Mughalsarai,1496.78,12T,10,0,0,82587.72
Guna,Jalgaon,557.9,18T,17,1,1,36077.37
Rampur,Muzaffarpur,954.39,12T,19,1,1,55105.41
Agartala,Amroha,1912.9,18T,8,1,0,122593.57
Tonk,Erode,2073.74,12T,14,0,1,110287.08
Muzaffarpur,Katni,757.7,25T,12,0,0,54793.4
Guntur,Jalpaiguri,1827.17,3.5T,18,0,0,63641.72
Hardoi,Sambhal,272.37,7.5T,9,0,1,13557.95
Faizabad,Unnao,232.1,25T,15,1,1,19837.71
Veraval,Bhusawal,755.02,18T,6,0,1,50231.91
Kochi,Tirunelveli,266.89,3.5T,2,0,1,9812.12
Tirupur,Raebareli,2167.36,7.5T,16,0,0,99495.23
Kurnool,Tiruchirappalli,705.08,3.5T,10,1,0,25554.19
Amravati,Saharanpur,1253.27,7.5T,1,0,0,56349.52
Dindigul,Mysore,325.9,12T,14,1,1,20240.42
Agra,Allahabad,584.77,7.5T,4,0,0,27588.1
Dhule,Eluru,1052.42,3.5T,19,0,0,39618.56
Guna,Rajamahendravaram,1230.01,3.5T,12,1,1,46468.14
Hassan,Chhindwara,1316.09,25T,16,1,0,101098.75
Panchkula,Purnia,1623.13,25T,19,0,1,118980.57
Gurgaon,Rewa,805.24,12T,15,0,1,44360.62
Bettiah,Pali,1559.69,7.5T,3,0,0,71563.79
Hubli,Hyderabad,544.3,12T,7,0,0,29808.23
Amravati,Tonk,775.72,7.5T,11,1,1,37889.58
Midnapore,Kollam,2394.86,12T,19,1,0,132954.28
Chennai,Agartala,2135.53,12T,3,0,1,113130.36
Jalandhar,Sitapur,880.87,7.5T,7,0,0,40465.8
Bardhaman,Fatehpur,1047.05,3.5T,4,1,0,37554.73
Pilibhit,Bharatpur,376.64,18T,16,0,1,26058.77
Jalgaon,Puri,1434.41,7.5T,6,1,0,67493.21
Bahraich,Ongole,1687.76,3.5T,18,0,0,60450.13
Bihar Sharif,Orai,849.27,12T,18,1,0,49405.49
Thanesar,Bhadravati,2244.26,25T,19,0,1,173025.63
Chhapra,Ahmedabad,1732.53,7.5T,2,0,0,78379.95
Vidisha,Dibrugarh,2435.55,25T,5,0,1,174130.51
Bhind,Malegaon,1021.57,18T,16,1,0,65701.9
Hassan,Surendranagar,1482.43,3.5T,10,1,1,54895.21
Porbandar,Munger,2394.32,12T,9,1,1,130587.74
Balasore,Mirzapur,786.87,18T,13,1,1,50052.1
Bilaspur,Shantipur,889.31,7.5T,13,0,1,39856.74
Noida,Nandyal,1827.36,12T,6,0,1,99058.65
Vaniyambadi,Surendranagar,1694.32,18T,10,1,1,115575.89
Shantipur,Faizabad,999.81,12T,6,1,1,56993.6
Panipat,Bhiwani,141.45,12T,13,1,0,8613.01
Chandrapur,Bahadurgarh,1254.33,3.5T,11,0,0,42390.29
Pondicherry,Hubli,807.96,7.5T,15,1,0,39460.97
Hathras,Katihar,1350.77,12T,14,0,1,73072.54
Gaya,Vidisha,1013.24,25T,9,0,0,72851.43
Thrissur,Phusro,2283.92,7.5T,17,0,0,102669.12
Jalandhar,Kasaragod,2611.98,12T,4,0,1,142964.04
Tirunelveli,Bhiwani,2795.9,12T,7,0,0,158077.06
Raichur,Gandhinagar,1170.83,7.5T,18,1,1,53535.71
Ranchi,Kochi,2247.01,25T,5,0,0,172084.3
Nagercoil,Vaniyambadi,648.13,7.5T,16,1,0,29307.85
Komarapalayam,Midnapore,2026.58,7.5T,5,0,1,95714.85
Lakhimpur,Daman,1521.35,7.5T,4,0,1,68353.61
Jorhat,Silchar,330.89,7.5T,8,0,1,15677.35
Tumkur,Shivpuri,1679.41,3.5T,10,0,0,58531.63
Surendranagar,Ranchi,1900.8,3.5T,14,1,1,67642.65
Sambalpur,Gulbarga,1145.79,12T,8,1,1,67253.66
Nandurbar,Bengaluru,1255.37,3.5T,6,0,0,42886.45
Pondicherry,Bhopal,1609.15,18T,14,1,0,105032.89
Kharagpur,Burhanpur,1534.2,25T,15,0,0,113010.32
Sangli-Miraj-Kupwad,Kannur,699.05,3.5T,15,1,1,25092.84
Sri Ganganagar,Bokaro Steel City,1910.9,18T,10,0,0,122277.36
Dibrugarh,Chennai,2848.41,25T,10,0,0,223874.06
Jaipur,Jammu,816.98,3.5T,17,1,1,30047.87
Erode,Kanpur,2127.22,7.5T,6,0,0,99912.41
Bhilwara,Srinagar,1215.84,18T,9,0,0,82007.12
Davangere,Gandhidham,1439.53,12T,5,1,0,77138.91
Bhadravati,Sambalpur,1561.91,25T,15,1,0,116780.89
Indore,Ambur,1433.65,18T,2,0,0,96652.98
Bharuch,Tirupur,1588.47,18T,4,1,1,101518.67
Faridabad,Jhansi,445.92,12T,9,0,1,26083.35
Roorkee,Patiala,218.9,18T,10,0,0,14911.75
Saharsa,Mysore,2337.65,12T,7,1,1,130822.57
Delhi,Khambhat,1080.79,18T,13,1,1,68358.55
Bhusawal,Visakhapatnam,1129.76,12T,14,0,0,60929.28
Bidar,Hoshiarpur,1899.83,7.5T,6,0,1,85528.75
Gurgaon,Darbhanga,1273.0,25T,3,1,1,100801.98
Bharuch,Bathinda,1211.09,3.5T,8,1,0,42017.56
Dankuni,Srinagar,2450.14,3.5T,3,1,0,85535.65
Katihar,Delhi,1499.15,25T,1,1,0,112645.93
Barmer,Junagadh,601.97,18T,7,1,1,38835.89
Vijayawada,Nandurbar,1116.38,3.5T,11,1,0,38724.4
Nabadwip,Indore,1738.34,12T,12,0,0,94988.95
Anantapur,Bahadurgarh,1946.23,7.5T,4,1,0,84843.79
Jhansi,Dhule,821.34,3.5T,2,0,0,29131.15
Vellore,Ozhukarai,156.51,18T,11,0,1,10773.56
Imphal,Jalandhar,2702.89,7.5T,19,1,1,117606.44
Hisar,Ongole,1986.01,3.5T,7,1,1,67555.49
Ramagundam,Vaniyambadi,850.1,7.5T,8,0,1,38072.12
Aurangabad,Lakhimpur,1350.63,18T,15,1,0,90729.79
Pune,Visakhapatnam,1304.08,7.5T,3,1,0,59854.46
Rourkela,Etawah,1024.16,18T,6,1,0,67089.8
Purnia,Gaya,369.54,25T,10,0,1,29127.5
Alappuzha,Dewas,1868.59,18T,13,1,1,122862.12
Jamshedpur,Bidar,1384.51,7.5T,5,0,1,64470.12
Bhilwara,Erode,1987.8,7.5T,15,1,1,87229.29
Yamunanagar,Latur,1629.14,12T,7,1,1,91448.89
Pali,Bilaspur,1326.09,3.5T,19,0,0,48880.92
Bongaigaon,Ozhukarai,2516.33,7.5T,8,1,0,116832.09
Vizianagaram,Purnia,1205.45,12T,19,1,0,65325.15
Durgapur,Balurghat,313.7,12T,19,1,1,18055.05
Arrah,Kanpur,613.37,25T,19,1,0,49214.79
Habra,Morena,1564.83,7.5T,12,1,1,69051.82
Mughalsarai,Chennai,1738.14,12T,12,1,0,94008.48
Nagercoil,Kadapa,893.66,25T,3,0,1,66189.03
Ramagundam,Berhampur,742.24,3.5T,1,0,1,26605.07
Muzaffarnagar,Delhi,137.84,7.5T,11,0,1,6758.17
Raichur,Pune,580.26,3.5T,16,1,0,20650.0
Jamshedpur,Pune,1813.23,25T,19,0,0,136285.27
Asansol,Pali,1913.27,12T,4,0,0,110196.24
Raichur,Rajnandgaon,849.13,12T,17,1,0,46879.08
Etawah,Thanjavur,2219.75,7.5T,1,1,1,99662.05
Midnapore,Tuticorin,2284.85,3.5T,5,1,1,81247.13
Jalandhar,Jamshedpur,1889.96,3.5T,16,1,1,70933.18
Mahbubnagar,Bhiwani,1691.99,12T,19,1,1,98982.88
Patna,Madurai,2382.15,25T,6,1,0,175391.04
Gurgaon,Pune,1447.48,12T,9,0,1,79126.22
Kakinada,Budaun,1592.68,25T,16,0,0,120156.52
Allahabad,Dhule,1165.34,25T,3,0,0,86625.37
Dhule,Sirsa,1197.8,18T,18,0,1,80810.27
Junagadh,Aurangabad,715.29,25T,4,0,1,53153.01
Burhanpur,Nanded,338.85,25T,3,0,0,24299.13
Cuttack,Dhulian,650.4,7.5T,1,1,0,29331.35
Faizabad,Baharampur,924.43,12T,6,1,1,52532.19
Darbhanga,Solapur,1815.6,12T,18,0,1,102654.68
Durg,Nadiad,1186.91,3.5T,18,0,0,43183.82
Vadodara,Bahraich,1377.4,7.5T,4,0,0,62570.7
Hoshiarpur,Imphal,2668.07,25T,12,0,0,206813.25
Berhampur,Kolhapur,1508.07,12T,1,0,0,83154.78
Raiganj,Vizianagaram,1231.69,25T,14,0,0,89975.28
Ranaghat,Ongole,1589.83,18T,10,1,0,109090.29
Kanchipuram,Arrah,1894.41,12T,13,0,0,104977.22
Katni,Khambhat,1100.15,25T,5,1,0,84149.2
Bokaro Steel City,Arrah,333.64,12T,4,1,0,18728.23
Banda,Delhi,614.5,25T,9,1,0,46262.25
Hanumangarh,Dhulian,2015.94,3.5T,11,0,1,72838.21
Bihar Sharif,Nashik,1779.71,7.5T,10,1,1,83004.52
Gandhinagar,Sonipat,1005.16,7.5T,17,0,0,47527.83
Rourkela,Veraval,2019.49,25T,19,0,1,155814.41
Kannur,Imphal,3140.24,3.5T,6,1,1,106406.97
Udaipur,Hathras,735.03,7.5T,8,0,0,34634.57
Jammu,Lucknow,1174.47,25T,15,0,0,90797.89
Patna,Haldwani,928.39,7.5T,14,1,0,41725.37
Sagar,Hoshiarpur,1134.88,3.5T,8,0,1,40657.93
Kurnool,Mau,1599.72,3.5T,1,0,0,56366.39
Bareilly,Khandwa,1003.06,7.5T,9,0,1,46644.58
Nellore,Durgapur,1618.5,12T,5,0,1,86913.8
Agra,Singrauli,766.73,3.5T,8,0,0,26447.91
Firozabad,Dewas,667.04,18T,14,0,1,44388.47
Rohtak,Kanchipuram,2269.56,25T,16,1,0,167654.84
Vapi,Sirsa,1302.02,25T,8,1,1,94210.84
Nashik,Jamnagar,621.21,7.5T,9,0,0,29346.42
Allahabad,Khambhat,1350.78,12T,12,0,1,75897.26
Bokaro Steel City,Ranaghat,341.76,12T,5,1,1,19773.6
Agartala,Raiganj,503.85,12T,15,1,0,29342.85
Kochi,Bhopal,1856.17,25T,6,0,1,135290.3
Ramagundam,Thanjavur,1107.57,25T,9,1,1,81534.32
Hardoi,Budaun,165.67,25T,1,1,0,12473.56
Bongaigaon,Ajmer,2205.49,18T,8,0,1,139266.33
Madurai,Rourkela,1949.93,7.5T,6,1,0,85713.34
Porbandar,Kolhapur,937.56,12T,4,0,1,52763.19
Bokaro Steel City,Aizawl,911.14,18T,12,1,1,62864.46
Vizianagaram,Gadag,1138.51,7.5T,3,0,1,53655.5
Solapur,Hathras,1411.77,12T,18,0,0,75031.49
Bhilwara,Bettiah,1393.04,25T,4,0,0,107520.39
Hindupur,Kadapa,204.98,7.5T,17,0,0,9807.56
Salem,Bettiah,2278.89,18T,8,1,1,155252.05
Kanpur,Bareilly,294.11,7.5T,8,1,1,15083.45
Batala,Krishnanagar,2183.24,25T,4,1,1,167321.7
Kolhapur,Adoni,445.93,12T,10,0,0,25870.89
Jhansi,Bahraich,513.24,18T,6,1,0,33613.67
Durg,Madurai,1623.58,3.5T,2,1,0,55327.07
Salem,Haldwani,2442.98,7.5T,19,1,0,114161.54
Firozabad,Panchkula,534.75,12T,3,1,0,28792.25
Nanded,Mau,1281.5,25T,6,1,1,101532.54
Baharampur,Chittoor,1981.87,7.5T,9,1,0,85812.77
Bhiwandi,Guna,948.39,18T,7,0,0,64057.92
Kochi,Anantapur,684.62,18T,8,1,0,45028.82
Kadapa,Thiruvananthapuram,865.21,3.5T,2,1,0,30627.0
Mau,Bahadurgarh,996.12,25T,3,1,1,74651.88
Siliguri,Bhilwara,1929.91,25T,12,0,1,144634.47
Rohtak,Kollam,2775.32,3.5T,4,0,0,99171.08
Vadodara,Navsari,191.42,7.5T,3,1,1,9532.56
Burhanpur,Veraval,815.2,25T,13,0,0,62867.99
Delhi,Rourkela,1379.2,25T,14,1,0,106246.41
Thanjavur,Chittoor,337.23,7.5T,2,1,1,15732.9
Chennai,Muzaffarpur,1942.22,18T,3,1,1,132472.31
Eluru,Bellary,618.79,7.5T,2,0,1,28465.64
Baharampur,Pali,2086.45,7.5T,9,1,1,96013.6
Aizawl,Thanjavur,2602.65,3.5T,1,1,0,93482.43
Dankuni,Rudrapur,1511.08,7.5T,12,1,0,70469.53
Khammam,Nandurbar,1000.11,12T,11,0,0,54192.45
Imphal,Rourkela,1309.27,3.5T,15,1,0,47022.83
Vadodara,Nizamabad,847.69,18T,5,0,0,52900.87
Dindigul,Shivpuri,2091.21,12T,3,0,1,119055.78
Nanded,Hindupur,737.03,12T,8,0,0,42929.52
Orai,Saharanpur,609.04,7.5T,17,0,0,27337.94
Katihar,Khandwa,1639.36,7.5T,18,1,1,74588.79
Kollam,Tuticorin,211.75,12T,13,1,0,12456.71
Asansol,Tirupati,1742.16,7.5T,16,0,0,78504.96
Mathura,Gurgaon,161.45,12T,10,1,1,10154.43
Faridabad,Batala,556.37,7.5T,13,1,0,26570.74
Modinagar,Thanjavur,2513.03,25T,12,0,1,195396.22
Darbhanga,Mangalore,2387.4,18T,9,0,1,154399.17
Anand,Berhampur,1706.95,7.5T,18,0,0,75924.06
Sirsa,Bathinda,94.52,25T,8,0,0,7459.63
Bathinda,Dindigul,2785.32,25T,19,1,0,200568.31
Rajkot,Sagar,1121.48,7.5T,16,0,0,53312.73
Jamnagar,Daman,480.64,12T,10,1,0,26519.05
